Month,Year,Amount,Category,Description
September 16,2016,5.00,Charity,DD
September 16,2016,1.37,Small purchases,Photos
September 16,2016,7.60,Train,
September 16,2016,5.00,Account fee,
September 16,2016,-32.33,Interest,
September 16,2016,2.40,Train,
September 16,2016,6.98,Lunch,Eat
September 16,2016,-400.00,Transfers,
September 16,2016,6.99,Lunch,Pod
September 16,2016,2.40,Train,
September 16,2016,4.80,Train,
September 16,2016,2.40,Train,
September 16,2016,129.00,Clothes,Dinner suit
September 16,2016,59.62,Other,Fran Caravan
September 16,2016,2.40,Train,
September 16,2016,32.91,Other,Sabrina
September 16,2016,4.80,Train,
September 16,2016,2.40,Train,
September 16,2016,4.80,Train,
September 16,2016,2.40,Train,
September 16,2016,48.37,Other,G lighterman
September 16,2016,12.50,Clothes,Bowtie
September 16,2016,2.40,Train,
September 16,2016,30.00,Trim,
September 16,2016,-4458.83,Salary,
September 16,2016,6.05,Lunch,Wasabi
September 16,2016,44.50,Clothes,Dinner shirt
September 16,2016,1.80,Lunch,Wasabi
September 16,2016,2.40,Train,
October 16,2016,4.29,Small purchases,Boots
October 16,2016,2.40,Train,
October 16,2016,27.84,Other,G Flight Club
October 16,2016,6.50,Train,
October 16,2016,5.00,Charity,DD
October 16,2016,1.30,Lunch,Wasabi
October 16,2016,4.29,Lunch,Itsu
October 16,2016,2.40,Train,
October 16,2016,17.00,Other,Fran drink
October 16,2016,41.60,Jemma,Sushi
October 16,2016,20.00,Other Meals,Tapas work
October 16,2016,2.40,Train,
October 16,2016,2.85,Other,All bar one
October 16,2016,23.00,Other Meals,Bloom sushi
October 16,2016,3.00,Train,
October 16,2016,120.00,Clothes,Coats Asos
October 16,2016,6.50,Train,
October 16,2016,1.25,Lunch,Crisps
October 16,2016,5.00,Account fee,
October 16,2016,-36.79,Interest,
October 16,2016,174.80,Train Pass,
October 16,2016,2.50,Small purchases,M&S
October 16,2016,3.97,Small purchases,Boots
October 16,2016,46.41,Jemma,German Gym
October 16,2016,20.00,Other,Charity
October 16,2016,6.40,Lunch,Wasabi
